id;sku;nome;categoria;prezzo;prezzo_str;prezzo_listino;disponibilita;immagine;descrizione;specifiche;url
7f8d3b700a9513e0;Codice: 10-spugnette-baby-boomer;10 Spugnette Baby Boomer;Altri prodotti;6.0;6,00 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696095fb204e6.png;plus minus Descrizione del prodotto chevron-down 10 Spugnette Baby Boomer Spugnette Baby Boomer - Testine di ricambio per baby boomer, ideale anche per creare le sfumature di colore sull'unghia, gradiente di colore e nail art;;https://www.hdnails.it/10-spugnette-baby-boomer
36219d1259120202;Codice: 3d-gel-arancione;3D Gel Arancione - Gel da decorazione;Altri prodotti;9.7;9,70 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696096b4ea3f3_1.jpg;plus minus Descrizione del prodotto chevron-down 3D Gel Arancione - Gel da decorazione;;https://www.hdnails.it/3d-gel-arancione-gel-da-decorazione
1583d8180446dc82;Codice: 3d-gel-oro;3D Gel Oro - Gel da decorazione;Altri prodotti;9.7;9,70 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696096b9de99f_1.jpg;plus minus Descrizione del prodotto chevron-down 3D Gel 6 - Gel da decorazione;;https://www.hdnails.it/3d-gel-oro-gel-da-decorazione
8b3aabfea1d3acd8;Codice: 3d-gel-rosa-chiaro;3D Gel Rosa Chiaro - Gel da decorazione;Altri prodotti;9.7;9,70 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696096b686f94_1.jpg;plus minus Descrizione del prodotto chevron-down 3D Gel Rosa Chiaro - Gel da decorazione;;https://www.hdnails.it/3d-gel-rosa-chiaro-gel-da-decorazione
7133f4415f5676fa;Codice: 3d-gel-rosa-scuro;3D Gel Rosa Scuro - Gel da decorazione;Altri prodotti;9.7;9,70 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696096b34efaa_1.jpg;plus minus Descrizione del prodotto chevron-down 3D Gel Rosa Scuro - Gel da decorazione;;https://www.hdnails.it/3d-gel-rosa-scuro-gel-da-decorazione
e1f63afd980fadf1;Codice: 3d-gel-rosso;3D Gel Rosso - Gel da decorazione;Altri prodotti;9.7;9,70 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696096bb9e08f_1.jpg;plus minus Descrizione del prodotto chevron-down 3D Gel Rosso - Gel da decorazione;;https://www.hdnails.it/3d-gel-rosso-gel-da-decorazione
c5572540179c0ff3;Codice: acrigel-cover-natural-15g;Acrigel Cover Naturale 15G - Costruttore Acrigel;Altri prodotti;19.9;19,90 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696092a612257_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Cover Natural Nuovissimo prodotto ibrido che unisce i pregi del Gel e dell'Acrilico in un unico prodotto! Acrigel è un prodotto molto resistente e con un’ottima adesione, denso ma assolutamente facile da lavorare. Il prodotto non brucia e non ha odore. Polimerizza in lampada lasciando tutto il tempo per una lavorazione ottimale. La gamma di 4 Acrigel è corredata dal suo liquido che ha la funzione di ammorbidire il prodotto rendendolo ancora più malleabile.;;https://www.hdnails.it/acrigel-cover-naturale-15g-costruttore-acrigel
10cf79657e34139c;Codice: acrigel-liquid;Acrigel Liquid - Liquido per Acrigel;Altri prodotti;6.1;6,10 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_696091a4d25db.png;plus minus Descrizione del prodotto chevron-down Acrigel Liquid Acrigel Liquid - 150 ml Liquido acrigel Il nostro Acrigel Liquid è stato appositamente formulato per facilitare la lavorazione dell’Acrigel, rendendo la modellatura fluida, precisa e senza attrito. Perfetto per l’utilizzo con pennello, permette di distribuire il prodotto con la massima uniformità, evitando il fastidioso effetto appiccicoso. 🌟 Perfetto per: • Ammorbidire e lavorare l’Acrigel con precisione • Evitare residui o grumi sulla superficie 💎 Benefici principali: • Formula professionale non aggressiva • Non altera la composizione dell’Acrigel • Asciugatura rapida e zero residui • Ideale per tecniche avanzate e per principianti ✨ Consiglio HD Nails®: Utilizza una piccola quantità di solvente direttamente sul pennello per controllare al meglio la forma e creare una struttura impeccabile in pochi passaggi.;;https://www.hdnails.it/acrigel-liquid-liquido-per-acrigel
fdb11fa1dac5ec2b;Codice: acrigel-pastel-collection-01;Acrigel Pastel Collection 01 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960af5399ccb.png;plus minus Descrizione del prodotto chevron-down Acrigel Pastel Collection 01 💖 Carisma, energia e brillantezza. L’Acrigel Fucsia Glitterato HD Nails® è pensato per chi vuole stupire con unghie vivaci, femminili e luminose. Il suo colore fucsia acceso, impreziosito da glitter fini , crea una struttura scenografica e moderna, ideale per clienti che vogliono un look deciso e glamour. 💎 Tecnologia al servizio della tua creatività. La formula è HEMA Free , perfetta anche per le pelli più sensibili. La texture morbida, non appiccicosa rende la lavorazione semplice e veloce, anche nelle strutture più complesse, offrendo massimo controllo e precisione . 🔧 Perfetto per: Refill rapidi e definiti Ricostruzioni resistenti ma sottili Baby Boomer in struttura colorata Utilizzo con nail form e dual form 🔒 Consigliato sotto la Base Fiber per un’ aderenza ottimale e una tenuta impeccabile anche nei casi più difficili. ⚡ Polimerizza in 120 secondi in lampada LED . ✨ Caratteristiche principali: Fucsia glitterato vibrante e femminile Formula HEMA Free, sicura e delicata Zero colature, lavorazione stabile e controllata Facile da limare, ottima resa estetica Perfetto per look energici, brillanti e sofisticati 💅 Con l’Acrigel Fucsia Glitterato HD Nails®, ogni struttura diventa una dichiarazione di stile. Stupisci le tue clienti con un risultato professionale che unisce colore, luce e perfezione.;;https://www.hdnails.it/acrigel-pastel-collection-01-costruttore-acrigel
71bccfea2cc35e0c;Codice: acrigel-pastel-collection-02;Acrigel Pastel Collection 02 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960af6dde82b.png;plus minus Descrizione del prodotto chevron-down Acrigel Pastel Collection 02 💙 Freschezza, eleganza e luce cristallina. L’Acrigel Azzurro Glitterato HD Nails® è pensato per chi ama tonalità delicate ma d’impatto. Un azzurro cielo elegante e luminoso, arricchito da glitter sottilissimi che riflettono la luce in modo sofisticato, perfetto per look estivi, romantici o creativi. 💎 Tecnologia avanzata per unghie da sogno. La formula HEMA Free lo rende adatto anche alle pelli più sensibili, offrendo sicurezza senza compromessi. La texture è morbida, non appiccicosa , per una stesura fluida e precisa, anche nelle forme più complesse. 🔧 Ideale per: Refill veloci e duraturi Ricostruzioni stabili e sottili Baby Boomer in struttura colorata Applicazioni con nail form e dual form 🔒 Per un’ aderenza perfetta , si consiglia di applicare sotto la Base Fiber , ideale anche per le unghie più problematiche. ⚡ Polimerizza in 120 secondi in lampada LED . ✨ Caratteristiche principali: Azzurro glitterato chiaro, fresco e brillante Formula HEMA Free, delicata e professionale Non cola, facile da lavorare anche in condizioni estreme Ottima stabilità strutturale e facilità di limatura Ideale per unghie raffinate, creative e sempre in trend 💅 Scegli l’Acrigel Azzurro Glitterato HD Nails® e trasforma ogni ricostruzione in un’opera d’arte: colore, luce e performance in un solo prodotto.;;https://www.hdnails.it/acrigel-pastel-collection-02-costruttore-acrigel
2500111f66b1cdcf;Codice: acrigel-pastel-collection-03;Acrigel Pastel Collection 03 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960af05e20f0.png;plus minus Descrizione del prodotto chevron-down Acrigel Pastel Collection 03 🌿 Freschezza, eleganza e luce. L’Acrigel Verde Glitterato HD Nails® è la scelta perfetta per chi ama distinguersi con uno stile originale ma raffinato. Un verde delicato arricchito da glitter sottilissimi che donano luminosità e profondità alla struttura, ideale per creare look eleganti, primaverili o di forte impatto artistico. 💎 Formula avanzata per performance professionali. Completamente HEMA Free , è sicuro anche per le pelli più sensibili. La texture morbida, non appiccicosa e facilmente modellabile consente una stesura precisa , anche nei lavori più tecnici, riducendo i tempi e garantendo risultati impeccabili. 🔧 Perfetto per: Refill rapidi e duraturi Ricostruzioni sottili ma resistenti Baby Boomer in struttura colorata Utilizzo con nail form e dual form 🔒 Consigliato applicare sotto la Base Fiber per ottenere un’ aderenza ottimale e una tenuta a lunga durata anche nei casi più difficili. ⚡ Polimerizza in 120 secondi in lampada LED . ✨ Caratteristiche principali: Colore verde glitterato brillante e moderno Formula HEMA Free, delicata e sicura Non cola, non si muove,ma si autolivella: perfetto controllo durante la lavorazione Facile da limare, stabile nella struttura Ideale per lavori artistici e tecnici 💅 Scegli l’eccellenza HD Nails® e porta nel tuo salone un prodotto che fa la differenza ad ogni applicazione.;;https://www.hdnails.it/acrigel-pastel-collection-03-costruttore-acrigel
6a81499da778d70d;Codice: acrigel-pastel-glitter-collection-04;Acrigel Pastel Collection 04 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960aeeca595b.png;plus minus Descrizione del prodotto chevron-down ACRIGEL PASTEL GLITTER COLLECTION 04 Questo acrigel unisce delicatezza e personalità in un unico prodotto. Un giallo tenue e raffinato, arricchito da glitter finissimi che donano luce e femminilità alla struttura, perfetto per creare unghie eleganti, moderne e sempre in tendenza. 💎 Performance professionale, lavorabilità impeccabile. La formula innovativa HEMA Free è sicura e delicata anche per le pelli più sensibili. La sua texture morbida, non appiccicosa garantisce una stesura facile e precisa, riducendo i tempi di lavoro e facilitando la modellatura anche nelle forme più complesse. 🔧 Ideale per: Refill veloci e puliti Ricostruzioni resistenti Baby Boomer in struttura colorati Tecniche con nail form e dual form 🔒 Consigliato di applicare sotto la Base Fiber per una adesione ottimale e una tenuta estrema anche su unghie problematiche. ⚡ Polimerizza in 120 secondi in lampada LED . ✨ Vantaggi principali: Colore giallo pastello glitterato luminoso Formula HEMA Free, delicata sulla pelle Zero colature, non si muove durante la lavorazione,ma si autolivella Ottima stabilità della struttura Perfetto anche per chi cerca un risultato sottile ma resistente 💅 Scopri il piacere di lavorare con un prodotto che valorizza la tua tecnica e conquista le clienti al primo sguardo.;;https://www.hdnails.it/acrigel-pastel-glitter-collection-04-costruttore-acrigel
8b13f8f042799644;Codice: acrigel-pastel-collection-05;Acrigel Pastel Collection 05 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960af1d8b628.png;plus minus Descrizione del prodotto chevron-down Acrigel Pastel Collection 05 🌸 Femminilità e luce in perfetto equilibrio. L’Acrigel Rosa Glitterato HD Nails® è la scelta ideale per chi ama uno stile romantico ma d’impatto. Un rosa delicato ma brillante, arricchito da glitter finissimi che donano luminosità e un effetto scintillante alla struttura. Perfetto per unghie raffinate, moderne e dal finish elegante. 💎 Formula avanzata, risultato impeccabile. Totalmente HEMA Free , è sicuro anche per le pelli più sensibili. La sua texture morbida, non appiccicosa rende la stesura facile, veloce e precisa, anche nelle forme più elaborate. Perfetto per chi desidera ottimizzare i tempi senza rinunciare alla qualità. 🔧 Ideale per: Refill rapidi e resistenti Ricostruzioni Sottili e resistenti Baby Boomer in struttura colorati Utilizzo con nail form e dual form 🔒 Consigliato applicare sotto la Base Fiber per una aderenza eccezionale e una tenuta duratura anche su unghie problematiche. ⚡ Polimerizza in 120 secondi in lampada LED. ✨ Caratteristiche principali: Rosa glitterato intenso e brillante Formula HEMA Free, delicata e professionale Non cola, non si muove ma si autolivella: massimo controllo durante la lavorazione Facile da limare e da modellare Ideale per lavori tecnici e nail art romantiche 💅 Con l’Acrigel Rosa Glitterato HD Nails®, ogni ricostruzione diventa un capolavoro: facile da usare, bellissimo da vedere, irresistibile per le tue clienti.;;https://www.hdnails.it/acrigel-pastel-collection-05-costruttore-acrigel
1efc38a628ea7825;Codice: acrigel-pastel-collection-06;Acrigel Pastel Collection 06 - Costruttore Acrigel;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960af388ec68.png;plus minus Descrizione del prodotto chevron-down Acrigel Pastel Collection 06 💜 Delicatezza e magia in un solo prodotto. L’Acrigel Lilla Glitterato HD Nails® è la scelta perfetta per chi desidera un look romantico ma deciso. Un lilla raffinato, arricchito da glitter luminosi che regalano profondità e luce alla struttura, perfetto per creare unghie eleganti, sognanti e sempre alla moda. 💎 Qualità professionale con una lavorabilità impeccabile. La sua formula HEMA Free è delicata anche sulle pelli più sensibili. La texture è morbida,non appiccicosa , pensata per facilitare la stesura, migliorare il controllo e velocizzare i tempi di lavorazione, anche nelle forme più complesse. 🔧 Ideale per: Refill rapidi e duraturi Ricostruzioni resistenti Baby Boomer in struttura colorata Applicazioni con nail form e dual form 🔒 Per una massima aderenza , consigliamo di applicare sotto la Base Fiber , così da garantire una tenuta eccellente anche sulle unghie più difficili. ⚡ Polimerizza in 120 secondi in lampada LED . ✨ Caratteristiche principali: Colore lilla glitterato brillante e raffinato Formula HEMA Free, sicura e delicata Non cola e non si muove: perfetto anche nei lavori di precisione Stabile, facile da limare, ottima resa estetica Indicato sia per lavori tecnici che per nail art sofisticate 💅 Porta nei tuoi lavori l’eccellenza HD Nails®: un acrigel che esalta la tua tecnica e conquista ogni cliente al primo sguardo.;;https://www.hdnails.it/acrigel-pastel-collection-06-costruttore-acrigel
326a44792da1dc64;Codice: acrigel-premium-strong;Acrigel Premium Strong;Altri prodotti;27.92;27,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/a/c/acrigel_premium_strong.jpg;"plus minus Descrizione del prodotto chevron-down Acrigel premium strong Natural nude - Hema free Scopri l’acrigel in barattolo firmato HD Nails: il perfetto equilibrio tra l’elasticità del gel e la resistenza dell’acrilico. La sua consistenza stabile ""sta ferma"" durante l'applicazione, rendendolo ideale per lavori di precisione come i muretti. Facile da modellare, non cola e garantisce massima tenuta. La colorazione è super naturale, perfetta per un effetto elegante e professionale. Indispensabile per le onicotecniche che cercano performance elevate e risultati impeccabili. Polimerizza in 120 secondi in lampada led .";;https://www.hdnails.it/acrigel-premium-strong
ff071f64a9aebdf4;Codice: Acrigel Premium Strong White;Acrigel Premium Strong White;Altri prodotti;27.92;27,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/a/c/acrigel_premium_strong_white_a.jpg;"plus minus Descrizione del prodotto chevron-down Acrigel Premium Strong White – Hema free Scopri l'acrigel in barattolo, il perfetto equilibrio tra l'elasticità del gel e la resistenza dell'acrilico. La sua consistenza stabile ""sta ferma"" durante l'applicazione, rendendolo ideale per lavori di precisione come i muretti. Facile da modellare, non cola e garantisce massima tenuta. Il bianco è coprente e definito, perfetto per French impeccabili, smile line nette ed effetti baby boomer dal risultato pulito e professionale. Indispensabile per le onicotecniche che cercano performance elevate e risultati impeccabili. Disponibile in due formati, da 30 g e da 50 g, per adattarsi a ogni ritmo di lavoro. Polimerizza in 120 secondi in lampada led .";;https://www.hdnails.it/acrigel-premium-strong-white
b2a6bdf8066593ec;Codice: acrigel-soft-premium-01;Acrigel Soft Premium 01 - Costruttore Acrigel;Altri prodotti;29.9;29,90 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960b066015eb_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium 01 Milk White Intense – 50 ml HEMA TPO FREE Il bianco intenso che ogni onicotecnica desidera. Scopri l’ Acrigel Soft Premium Milk White Intense , il nuovo alleato per realizzare baby boomer perfetti e french in struttura impeccabili. La sua colorazione bianca intensa dona un effetto elegante e pulito, ideale per esaltare ogni tipo di manicure. La texture ultra morbida rende la lavorazione estremamente semplice e piacevole, sia con liquido che senza. Si adatta perfettamente a tutte le tecniche di costruzione , dalle dual form alle nail form , garantendo controllo, adesione e risultato professionale anche per le onicotecniche meno esperte. ✅ Bianco intenso e coprente ✅ Consistenza soft, facile da modellare ✅ Perfetto per baby boomer e french ✅ Utilizzabile con o senza liquido ✅ Ideale per dual form e nail form ✅ Formato professionale da 50 ml TEMPO DI POLIMERIZZAZIONE: 120 SECONDI IN LAMPADA LED . Un prodotto premium pensato per chi cerca massima performance e facilità di utilizzo in un solo acrigel.;;https://www.hdnails.it/acrigel-soft-premium-01-costruttore-acrigel
3f34d5372ee97f65;Codice: acrigel-soft-premium-02;Acrigel Soft Premium 02 - Costruttore Acrigel;Altri prodotti;29.9;29,90 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960b0714401b_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium 02 Cover Rose Exclusive – 50 ml HEMA TPO FREE Il rosa naturale che esalta ogni struttura. Scopri l’ Acrigel Soft Premium 02 Cover Rose Exclusive , il nuovo must-have per realizzare baby boomer delicati e french in struttura dall’effetto naturale ed elegante. La sua colorazione rosa tenue intensa è perfetta per donare alle unghie un aspetto curato e sofisticato, senza rinunciare alla coprenza. La texture ultra morbida rende la lavorazione estremamente semplice e piacevole, sia con liquido che senza. Si adatta perfettamente a tutte le tecniche di costruzione , dalle dual form alle nail form , garantendo controllo, adesione e risultato professionale anche per le onicotecniche meno esperte. ✅ Rosa naturale intenso e uniforme ✅ Consistenza soft, facile da modellare ✅ Perfetto per baby boomer e french ✅ Utilizzabile con o senza liquido ✅ Ideale per dual form e nail form ✅ Formato professionale da 50 ml TEMPO DI POLIMERIZZAZIONE: 120 SECONDI IN LAMPADA LED . Un prodotto premium pensato per chi cerca massima performance e facilità di utilizzo in un solo acrigel.;;https://www.hdnails.it/acrigel-soft-premium-02-costruttore-acrigel
cbc812d79e407992;Codice: acrigel-soft-premium-07-costruttore-acrigel;Acrigel Soft Premium 07 - Costruttore Acrigel;Altri prodotti;29.9;29,90 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960e1c62030d.png;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium 07 Cover Elegant Nude – 50 ml HEMA TPO FREE Il rosa freddo naturale che esalta ogni struttura. Scopri l’ Acrigel Soft Premium 07 Cover Elegant Nude , il nuovo must-have per realizzare baby boomer delicati e french in struttura dall’effetto naturale ed elegante. La sua colorazione rosa freddo intensa è perfetta per donare alle unghie un aspetto curato e sofisticato, senza rinunciare alla coprenza. La texture ultra morbida rende la lavorazione estremamente semplice e piacevole, sia con liquido che senza. Si adatta perfettamente a tutte le tecniche di costruzione , dalle dual form alle nail form , garantendo controllo, adesione e risultato professionale anche per le onicotecniche meno esperte. ✅ Rosa naturale intenso e uniforme ✅ Consistenza soft, facile da modellare ✅ Perfetto per baby boomer e french ✅ utilizzabile con liquido ✅ Ideale per dual form e nail form ✅ Formato professionale da 50 ml TEMPO DI POLIMERIZZAZIONE: 120 SECONDI IN LAMPADA LED . Un prodotto premium pensato per chi cerca massima performance e facilità di utilizzo in un solo acrigel.;;https://www.hdnails.it/acrigel-soft-premium-07-costruttore-acrigel
4a7e333cf03777c6;Codice: acrigel-soft-premium-08-costruttore-acrigel;Acrigel Soft Premium 08 - Costruttore Acrigel;Altri prodotti;29.9;29,90 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960e1e36d0de.png;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium 08 Cover Rosa Quarzo – 50 ml HEMA TPO FREE Il rosa freddo naturale che esalta ogni struttura. Scopri l’ Acrigel Soft Premium 08 Cover Rosa Quarzo , il nuovo must-have per realizzare baby boomer delicati e french in struttura dall’effetto naturale ed elegante. La sua colorazione rosa quarzo intensa è perfetta per donare alle unghie un aspetto curato e sofisticato, senza rinunciare alla coprenza. La texture ultra morbida rende la lavorazione estremamente semplice e piacevole, sia con liquido che senza. Si adatta perfettamente a tutte le tecniche di costruzione , dalle dual form alle nail form , garantendo controllo, adesione e risultato professionale anche per le onicotecniche meno esperte. ✅ Rosa naturale intenso e uniforme ✅ Consistenza soft, facile da modellare ✅ Perfetto per baby boomer e french ✅ Utilizzabile con liquido ✅ Ideale per dual form e nail form ✅ Formato professionale da 50 ml TEMPO DI POLIMERIZZAZIONE: 120 SECONDI IN LAMPADA LED . Un prodotto premium pensato per chi cerca massima performance e facilità di utilizzo in un solo acrigel.;;https://www.hdnails.it/acrigel-soft-premium-08-costruttore-acrigel
18af01549f8a0b9e;Codice: acrigel-soft-premium-glitter-flake-1;Acrigel Soft Premium Glitter Flake 1;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960d17110979_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium Glitter Flake 1 Un acrigel bianco latte con glitter dalla consistenza soft e cremosa , che unisce morbidezza in lavorazione e rigidità impeccabile dopo la polimerizzazione . Facile da modellare, stabile e senza colature, è ideale per chi cerca controllo e comfort in ogni passaggio. Perfetto sia per lunghezze importanti che per unghie corte , questo acrigel è la scelta ideale per ricostruzioni, refill e coperture naturali . La sua formula arricchita da glitter e flake luminosi crea un effetto tridimensionale e sofisticato , che dona profondità e luce al classico bianco latte, rendendolo elegante e unico sotto ogni angolazione. Una volta polimerizzato, diventa rigido e resistente , garantendo una struttura stabile e duratura. Per la limatura, si consiglia una lima abrasiva (almeno grana 120) o, se si utilizza la fresa, una punta verde , per una rifinitura precisa e veloce. Sigillare con Top Coat . 🕒 Tempo di polimerizzazione: 120 secondi in lampada LED/UV.;;https://www.hdnails.it/acrigel-soft-premium-glitter-flake-1
fa1115da3c4ac4ae;Codice: acrigel-soft-premium-glitter-flake-2;Acrigel Soft Premium Glitter Flake 2;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960d18d11436_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium Glitter Flake 2 Un acrigel malva scuro con glitter e flakes dalla consistenza soft e cremosa , che unisce morbidezza in lavorazione e rigidità impeccabile dopo la polimerizzazione . Facile da modellare, stabile e senza colature, è ideale per chi cerca controllo e comfort in ogni passaggio. Perfetto sia per lunghezze importanti che per unghie corte , questo acrigel è la scelta ideale per ricostruzioni, refill e coperture naturali . La sua formula arricchita da glitter e flake luminosi crea un effetto tridimensionale e sofisticato , che dona profondità e luce al classico bianco latte, rendendolo elegante e unico sotto ogni angolazione. Una volta polimerizzato, diventa rigido e resistente , garantendo una struttura stabile e duratura. Per la limatura, si consiglia una lima abrasiva (almeno grana 120) o, se si utilizza la fresa, una punta verde , per una rifinitura precisa e veloce. Sigillare con Top Coat . 🕒 Tempo di polimerizzazione: 120 secondi in lampada LED/UV.;;https://www.hdnails.it/acrigel-soft-premium-glitter-flake-2
5317e9ee5599c9e2;Codice: acrigel-soft-premium-glitter-flake-3;Acrigel Soft Premium Glitter Flake 3;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960d1a47eefc_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium Glitter Flake 3 Un acrigel rosa acceso con glitter e flakes dalla consistenza soft e cremosa , che unisce morbidezza in lavorazione e rigidità impeccabile dopo la polimerizzazione . Facile da modellare, stabile e senza colature, è ideale per chi cerca controllo e comfort in ogni passaggio. Perfetto sia per lunghezze importanti che per unghie corte , questo acrigel è la scelta ideale per ricostruzioni, refill e coperture naturali . La sua formula arricchita da glitter e flake luminosi crea un effetto tridimensionale e sofisticato , che dona profondità e luce al classico bianco latte, rendendolo elegante e unico sotto ogni angolazione. Una volta polimerizzato, diventa rigido e resistente , garantendo una struttura stabile e duratura. Per la limatura, si consiglia una lima abrasiva (almeno grana 120) o, se si utilizza la fresa, una punta verde , per una rifinitura precisa e veloce. Sigillare con Top Coat . 🕒 Tempo di polimerizzazione: 120 secondi in lampada LED/UV.;;https://www.hdnails.it/acrigel-soft-premium-glitter-flake-3
9c94f4b381c96901;Codice: acrigel-soft-premium-glitter-flake-4;Acrigel Soft Premium Glitter Flake 4;Altri prodotti;23.92;23,92 €;;Disponibile Aggiungi alla lista desideri;https://www.hdnails.it/media/catalog/product/cache/37a89782ee5d75b828ffe183f5318d59/w/o/woo_img_6960d1cf9557c_1.jpg;plus minus Descrizione del prodotto chevron-down Acrigel Soft Premium Glitter Flake 4 Un acrigel rosa con glitter e flakes dalla consistenza soft e cremosa , che unisce morbidezza in lavorazione e rigidità impeccabile dopo la polimerizzazione . Facile da modellare, stabile e senza colature, è ideale per chi cerca controllo e comfort in ogni passaggio. Perfetto sia per lunghezze importanti che per unghie corte , questo acrigel è la scelta ideale per ricostruzioni, refill e coperture naturali . La sua formula arricchita da glitter e flake luminosi crea un effetto tridimensionale e sofisticato , che dona profondità e luce al classico bianco latte, rendendolo elegante e unico sotto ogni angolazione. Una volta polimerizzato, diventa rigido e resistente , garantendo una struttura stabile e duratura. Per la limatura, si consiglia una lima abrasiva (almeno grana 120) o, se si utilizza la fresa, una punta verde , per una rifinitura precisa e veloce. Sigillare con Top Coat . 🕒 Tempo di polimerizzazione: 120 secondi in lampada LED/UV.;;https://www.hdnails.it/acrigel-soft-premium-glitter-flake-4
